city_state,n,fips
"Abingdon, VA",1,51191
"Akron, OH",1,39153
"Albany, NY",1,36001
"Albuquerque, NM",1,35001
"Altoona, PA",1,42013
"Ambridge, PA",1,42007
"Ames, IA",1,19169
"Anaheim, CA",1,06059
"Anderson, SC",1,45007
"Appleton, WI",1,55087
"Ashburn, VA",1,51107
"Asheville, NC",2,37021
"Aston, PA",1,42045
"Atkinson, NH",2,33015
"Atlanta, GA",2,13121
"Austin, TX",2,48015
"Baltimore, MD",1,24510
"Bangor, ME",2,23019
"Bedford, NH",1,33011
"Bentonville, AR",1,05007
"Berlin, MD",1,24047
"Bethpage, NY",1,36059
"Billings, MT",1,30111
"Birch Run, MI",1,26145
"Bismarck, ND",2,38015
"Bluffton, SC",1,45013
"Buffalo, NY",1,36029
"Burlington, VT",1,50007
"Cadillac, MI",1,26165
"Canton, OH",2,39151
"Carmel, IN",1,18057
"Cedar Rapids, IA",2,19113
"Charleston, SC",1,45019
"Charleston, WV",1,54039
"Charlotte, NC",6,37119
"Chicago, IL",1,17031
"Cincinnati, OH",2,39061
"Clemson, SC",1,45077
"Cleveland, OH",9,39035
"Clevelend, OH",1,39035
"Colorado Springs, CO",3,08041
"Columbus, OH",2,39049
"Concord, NC",1,37025
"Costa Mesa, CA",1,06059
"Council Bluffs, IA",1,19155
"Dallas, TX",1,48113
"Davenport, IA",1,19163
"Daytona Beach, FL",1,12127
"De Pere, WI",1,55009
"Delaware, OH",2,39041
"Denver, CO",2,08031
"Des Moines, IA",8,19057
"Detroit, MI",3,26163
"Dimondale, MI",2,26045
"Dubuque, IA",1,19061
"Eau Claire, WI",2,55035
"Erie, PA",1,42049
"Eugene, OR",1,41039
"Evansville, IN",1,18163
"Everett, WA",2,53061
"Fayetteville, NC",2,37051
"Fletcher, NC",2,37089
"Flint, MI",1,26049
"Fort Dodge, IA",1,19187
"Fort Myers, FL",1,12071
"Fort Worth, TX",1,48439
"Fountain Hills, AZ",1,04013
"Fredericksburg, VA",1,51630
"Fresno, CA",1,06019
"Gaffney, SC",1,45021
"Geneva, OH",2,39007
"Gettysburg, PA",2,42001
"Golden, CO",2,08059
"Grand Junction, CO",1,08077
"Grand Rapids, MI",3,26081
"Greeley, CO",1,08123
"Green Bay, WI",3,55009
"Greensboro, NC",2,37081
"Greenville, NC",2,37147
"Hampton, NH",1,33015
"Harrisburg, PA",1,42043
"Henderson, NV",2,32003
"Herndon, VA",1,51059
"Hershey, PA",1,42043
"High Point, NC",1,37081
"Hilton Head, SC",1,45013
"Houston, TX",3,48201
"Indianapolis, IN",2,18097
"Jackson, MI",1,26075
"Jackson, MS",1,28059
"Jacksonville, FL",2,12031
"Janesville, WI",1,55105
"Johnstown, PA",1,42021
"Jupiter, FL",1,12099
